,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
229,,results_top_three_domain_frac_www.espn.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
230,,results_top_domain_frac_www.espn.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
231,,results_full_domain_frac_www.toliverbrothers.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
232,,results_top_three_domain_frac_www.toliverbrothers.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
233,,results_top_domain_frac_www.toliverbrothers.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
234,,results_full_domain_frac_www.armbrustermotors.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
235,,results_top_three_domain_frac_www.armbrustermotors.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
236,,results_top_domain_frac_www.armbrustermotors.net,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
237,0.002,results_full_domain_frac_paywizard.org,210,50,0.00621301775147929,0.006,0.008,1.31,,260,rural,urban,0.611209724869102,urban
238,0.008,results_top_three_domain_frac_paywizard.org,210,50,0.02692307692307692,0.025,0.033,1.31,,260,rural,urban,0.611209724869102,urban
239,,results_top_domain_frac_paywizard.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
240,,results_full_domain_frac_www.pellachevy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
241,,results_top_three_domain_frac_www.pellachevy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
